Sentence,translation
"Di sé nascendo a Roma non fe’ gratia, a Giudea sí, tanto sovr’ogni stato humiltate exaltar sempre gli piacque;","non diede a Roma l'onore di nascere in quella terra, ma in Giudea piuttosto, per far sì che fosse realizzata la sua volontà di rendere quella degli umili la condizione umana a lui prediletta!"
"ed or di picciol borgo un sol n’à dato, tal che natura e ’l luogo si ringratia onde sí bella donna al mondo nacque.","Così ora da una piccola terra ha fatto nascere un sole tale, che gli uomini ringraziano la natura e il luogo che hanno prodotto una donna così bella."
"Quando io movo i sospiri a chiamar voi, e 'l nome che nel cor mi scrisse Amore, laudando s'incomincia udir di fore il suon de' primi dolci accenti suoi.","Quando io sospirando comincio a chiamarvi, e con voi il nome che Amore ha impresso sul mio cuore, tra le lodi si comincia a sentire da fuori il suono delle dolci lettere"
"Vostro stato real, che 'ncontro poi, raddoppia a l'alta impresa il mio valore; ma: taci, grida il fin, ché farle honore è d'altri homeri soma che da' tuoi.","Il vostro stato regale, che si ritrova poi, raddoppia il valore dell'intento di lodarvi; ma, è come se gridasse taci l'ultima sillaba del nome: perché rendervi onore è un impegno troppo grande per le mie forze."
"Cosí laudare et reverire insegna la voce stessa, pur ch'altri vi chiami, o d'ogni reverenza et d'onor degna:","Così il vostro stesso nome insegna a lodare e a riverire per il semplice fatto di pronunciarlo quando si parla, o persona degna di ogni riverenza e onore:"
se non che forse Apollo si disdegna ch'a parlar de' suoi sempre verdi rami lingua mortal presumptüosa vegna.,"perché Apollo vieta, che a parlare dei suo rami sempre verdi, sia la lingua di un essere mortale presuntuoso."
"Sí travïato è ’l folle mi’ desio a seguitar costei che ’n fuga è volta, et de’ lacci d’Amor leggiera et sciolta vola dinanzi al lento correr mio,","Il mio folle desiderio è così traviato a forza di seguire lei che fugge, e che libera e senza il peso d'ogni vincolo d'amore sembra quasi volare in confronto al mio agire lento"
"che quanto richiamando piú l’envio per la secura strada, men m’ascolta: né mi vale spronarlo, o dargli volta, ch’Amor per sua natura il fa restio.","che quando provo ad indirizzare l'amore verso una strada più sicura, non mi ascolta: a niente serve forzare lo stato delle cose, o mettergli le briglie, perchè tanto più l'amore, per sua natura, comincia a sfuggire al controllo della mia volontà;"
"Et poi che ’l fren per forza a sé raccoglie, i’ mi rimango in signoria di lui, che mal mio grado a morte mi trasporta:","e poi quando a forza si strappa il freno, io vengo trascinato senza alcun controllo dove vuole lui, conducendomi senza possibilità di fermarlo verso la morte:"
"sol per venir al lauro onde si coglie acerbo frutto, che le piaghe altrui gustando afflige piú che non conforta.","ma giunge infine al lauro da cui pendono frutti acerbi, quel lauro che, quando lo si riesca a gustare, acuisce più che alleviare le ferite."
"Convenevole cosa è, carissime donne, che ciascheduna cosa la quale l’uomo fa, dallo ammirabile e santo nome di Colui il quale di tutte fu facitore le dea principio.","È opportuno, carissime donne, che a qualsiasi cosa faccia l’uomo, sia dato inizio nell’ammirabile e santo nome di Colui che le creò tutte."
"Per che, dovendo io al nostro novellare, sì come primo, dare cominciamento, intendo da una delle sue maravigliose cose incominciare, acciò che, quella udita, la nostra speranza in lui, sì come in cosa impermutabile, si fermi e sempre sia da noi il suo nome lodato.","Per cui, dovendo io, come primo, dare inizio al nostro raccontare, intendo cominciare da una delle sue meraviglie, affinché, una volta ascoltata, la nostra speranza in Lui, resti immutabile e sia sempre lodato da noi il suo nome"
"Manifesta cosa è che, sì come le cose temporali tutte sono transitorie e mortali, così in sé e fuor di sé essere piene di noia e d’angoscia e di fatica e ad infiniti pericoli soggiacere;","È risaputo che, le cose terrene sono transitorie e mortali, sono piene di dolori, di angoscia e di fatica sia dentro che fuori e sono soggette ad infiniti pericoli;"
"alle quali senza niuno fallo né potremmo noi, che viviamo mescolati in esse e che siamo parte d’esse, durare né ripararci, se spezial grazia di Dio forza e avvedimento non ci prestasse.","né noi, che ci viviamo in mezzo e ne facciamo parte, potremmo resistere ed evitarle, se la grazia speciale di Dio non ci infondesse forza e prudenza"
"La quale a noi e in noi non è da credere che per alcuno nostro merito discenda, ma dalla sua propia benignità mossa e da prieghi di coloro impetrata che, sì come noi siamo, furon mortali, e bene i suoi piaceri mentre furono in vita seguendo, ora con lui etterni sono divenuti e beati;","Non dobbiamo pensare che la grazia divina discenda su di noi per merito nostro, ma scaturisce dalla sua benevolenza e ci è concessa grazie alle preghiere di coloro che, proprio come noi, furono mortali e seguirono bene le sue volontà mentre furono in vita ed ora, con Lui, sono divenuti eterni e beati."
"alli quali noi medesimi, sì come a procuratori informati per esperienza della nostra fragilità, forse non audaci di porgere i prieghi nostri nel cospetto di tanto giudice, delle cose le quali a noi reputiamo opportune gli porgiamo.","Ai quali noi stessi porgiamo le preghiere per le cose che riteniamo opportune, come a intercessori informati, per esperienza, sulla nostra fragilità, perché, forse, non osiamo rivolgere le nostre preghiere al cospetto di un tale giudice."
"E ancora più in questo lui verso noi di pietosa liberalità pieno discerniamo, che, non potendo l’acume dell’occhio mortale nel segreto della divina mente trapassare in alcun modo, avvien forse tal volta che, da oppinione ingannati, tale dinanzi alla sua maestà facciamo procuratore, che da quella con etterno essilio è scacciato;","E in Lui, che è pieno di pietà e di liberalità verso di noi, scorgiamo qualcosa anche di più grande, poiché l’acutezza dell’occhio umano non può trapassare il segreto della mente divina, succede, talvolta, che, ingannati da false opinioni, ci facciamo rappresentare da qualcuno che è stato cacciato con eterno esilio."
"e nondimeno esso, al quale niuna cosa è occulta, più alla purità del pregator riguardando che alla sua ignoranza o allo essilio del pregato, così come se quegli fosse nel suo conspetto beato, esaudisce coloro che ’l priegano.","E nonostante ciò Egli, che vede tutto, esaudisce coloro che pregano, considerando maggiormente la purezza di colui che prega piuttosto che l’ignoranza o l’esilio di colui che intercede, come se fosse beato al suo cospetto."
"Il che manifestamente potrà apparire nella novellala quale di raccontare intendo; manifestamente dico, non il giudicio di Dio, ma quel degli uomini seguitando.","Questo apparirà chiaramente nella novella che intendo raccontare: dico chiaramente, non seguendo il giudizio di Dio, ma quello degli uomini. "
"E la cagion del dubbio era il sentire li borgognoni uomini riottosi e di mala condizione e misleali; e a lui non andava per la memoria chi tanto malvagio uom fosse, in cui egli potesse alcuna fidanza avere che opporre alla loro malvagità si potesse.","La titubanza derivava dall’aver sentito descrivere i borgognoni come uomini litigiosi, di indole malvagia e sleali; e a lui non veniva in mente chi vi potesse essere di tanto disonesto da potersi fidare di lui e in grado di opporsi alla loro malvagità"
"E sopra questa essaminazione pensando lungamente stato, gli venne a memoria un ser Cepperello da Prato, il qual molto alla sua casa in Parigi si riparava.","Dopo aver pensato a lungo gli venne in mente un certo ser Cepparello da Prato, che si rifugiava spesso nella sua casa a Parigi"
"Il quale, per ciò che piccolo di persona era e molto assettatuzzo, non sappiendo li franceschi che si volesse dire Cepperello, credendo che cappello, cioè ghirlanda, secondo il loro volgare, a dir venisse, per ciò che piccolo era come di-cemmo, non Ciappello, ma Ciappelletto il chiamavano; e per Ciappelletto era conosciuto per tutto, là dove pochi per ser Cepperello il conoscieno.","era basso e di un’eleganza un po’ affettata, i francesi non sapevano cosa significasse Cepparello, pensando che volesse dire cappello o ghirlanda in dialetto, siccome era piccolo di statura come dicemmo, lo chiamavano Ciappelletto e non Ciappello: ed era conosciuto da quasi tutti come Ciappelletto, mentre pochi lo conoscevano come ser Cepperello."
"Era questo Ciappelletto di questa vita: egli, essendo notaio, avea grandissima vergogna quando uno de’ suoi strumenti (come che pochi ne facesse) fosse altro che falso trovato; de’ quali tanti avrebbe fatti di quanti fosse stato richiesto, e quelli più volentieri in dono che alcun altro grandemente salariato.","Questa era la sua vita: faceva il notaio e provava una grandissima vergogna quando un suo atto, sebbene ne facesse pochi, non risultava falso; avrebbe fatto tutti gli atti falsi che gli avessero richiesto, e li avrebbe fatti più volentieri e gratis piuttosto che un atto autentico lautamente retribuito."
"Testimonianze false con sommo diletto diceva, richiesto e non richiesto; e dandosi a que’ tempi in Francia a’ saramenti grandissima fede, non curandosi fargli falsi, tante quistioni malvagiamente vincea a quante a giurare di dire il vero sopra la sua fede era chiamato.","Testimoniava il falso con sommo piacere, sia che gli fosse richiesto o meno; e poiché a quei tempi in Francia si prestava grandissima fiducia ai giuramenti, non curandosi di spergiurare; vinceva, in maniera disonesta, tutte le cause in cui era chiamato a dire la verità sul suo onore."
"Aveva oltre modo piacere, e forte vi studiava, in commettere tra amici e parenti e qualunque altra persona mali e inimicizie e scandali, de’ quali quanto maggiori mali vedeva seguire tanto più d’allegrezza prendea.","Introdurre tra amici e parenti o tra altre persone odi, inimicizie e scandali lo divertiva ed appassionava molto: maggiori erano i malanni che ne scaturivano tanto più piacere provava"
"Invitato ad un omicidio o a qualunque altra rea cosa, senza negarlo mai, volenterosamente v’andava; e più volte a fedire e ad uccidere uomini colle propie mani si trovò volentieri.","Se veniva invitato ad assistere a un omicidio o ad un qualsiasi altro reato, ci andava volentieri senza negarlo e, in molte occasioni si trovò a ferire e ad uccidere uomini con le proprie mani con sommo piacere."
"Bestemmiatore di Dio e de’santi era grandissimo; e per ogni piccola cosa, sì come colui che più che alcun altro era iracundo. A chiesa non usava giammai; e i sacramenti di quella tutti, come vil cosa, con abominevoli parole scherniva; e così in contrario le taverne e gli altri disonesti luoghi visitava volentieri e usavagli.","Era un grande bestemmiatore di Dio e dei Santi, e si adirava più di chiunque altro per ogni piccola cosa. Non soleva mai andare in chiesa, e scherniva i sacramenti con parole abominevoli come se fossero cose vili; al contrario frequentava spesso e volentieri le taverne ed altri luoghi disonensti"
Delle femine era così vago come sono i cani de’ bastoni; del contrario più che alcun altro tristo uomo si dilettava. Imbolato avrebbe e rubato con quella conscienzia che un santo uomo offerrebbe.,Amava le donne come i cani amano i bastoni; anzi si dilettava ad andare con uomini. Avrebbe rubato e rapito con violenza con la stessa coscienza di un uomo santo che fa l’elemosina. 
"Gulosissimo e bevitore grande, tanto che alcuna volta sconciamente gli facea noia. Giuocatore e mettitor di malvagi dadi era solenne.","Era molto goloso e grande bevitore, tanto che alcune volte i suoi vizi gli procuravano malesseri. Inoltre era un accanito giocatore e baro ai dadi."
"Egli era il piggiore uomo forse che mai nascesse. La cui malizia lungo tempo sostenne la potenzia e lo stato di messer Musciatto, per cui molte volte e dalle private persone, alle quali assai sovente faceva ingiuria, e dalla corte, a cui tuttavia la facea, fu riguardato.","Egli probabilmente era l’uomo peggiore che mai fosse nato. La potenza e la condizione sociale di messer Musciatto protessero a lungo la sua malvagità, per cui molte volte fu trattato con riguardo sia dai privati, che spesso oltraggiava, che dalla giustizia alla quale sfuggiva continuamente"
"Ser Ciappelletto, come tu sai, io sono per ritrarmi del tutto di qui, e avendo tra gli altri a fare co’ borgognoni, uomini pieni d’inganni, non so cui io mi possa lasciare a riscuotere il mio da loro più convenevole di te; e perciò, con ciò sia cosa che tu niente facci al presente, ove a questo vogli intendere, io intendo di farti avere il favore della corte e di donarti quella parte di ciò che tu riscoterai che convenevole sia.","Ser Ciapelletto, come sai, io sto per ritirare tutti i miei affari da qui: poiché, tra gli altri, ho a che fare con i borgognoni, uomini molto sleali, non saprei a chi affidare il compito di riscuotere il debito che con loro che sia più adatto di te. Perciò, dato che in questo periodo non stai facendo niente, e voglio provvedere a questo, ho intenzione di farti avere il favore della corte reale e di donarti la parte che riterrai opportuna della somma che riscuoterai."
"Ser Ciappelletto, che scioperato si vedea e male agitato delle cose del mondo e lui ne vedeva andare che suo sostegno e ritegno era lungamente stato, senza niuno indugio e quasi da necessità costretto si diliberò, e disse che volea volentieri.","Ser Ciappelletto, che era disoccupato e non si trovava in buone condizioni economiche e che vedeva andarsene colui che era stato per molto tempo suo protettore, decise senza nessun indugio e quasi costretto dalla necessità, disse che avrebbe accettato volentieri."
"Per che, convenutisi insieme, ricevuta ser Ciappelletto la procura e le lettere favorevoli del re, partitosi messer Musciatto, n’andò in Borgogna dove quasi niuno il conoscea; e quivi, fuor di sua natura, benignamente e mansuetamente cominciò a voler riscuotere e fare quello per che andato v’era, quasi si riserbasse l’adirarsi al da sezzo.","Per cui si misero d’accordo, Ser Ciappelletto ricevette la delega e le lettere di raccomandazione firmate dal re, e, dopo che messer Musciatto fu partito, se ne andò in Borgogna dove quasi nessuno lo conosceva: e qui, contrariamente alla sua indole, cominciò a riscuotere ed a svolgere il suo compito comportandosi in modo benevolo e comprensivo, quasi si riservasse di scatenare la sua rabbia all’ultimo momento."
"E così faccendo, riparandosi in casa di due fratelli fiorentini, li quali quivi ad usura prestavano e lui per amor di messer Musciatto onoravano molto, avvenne che egli infermò; al quale i due fratelli fecero prestamente venire medici e fanti che il servissero e ogni cosa opportuna alla sua santà racquistare.","Così facendo, trovò alloggio in casa di due fratelli fiorentini, i quali prestavano a usura e lo trattarono con molta cortesia per amore di messer Musciatto, qui gli capitò di ammalarsi. I due fratelli fecero venire subito un medico e servitori che si occupassero di lui e facessero ogni cosa per fargli recuperare la salute"
"Ma ogni aiuto era nullo, per ciò che ’l buono uomo, il quale già era vecchio e disordinatamente vivuto, secondo che i medici dicevano, andava di giorno in giorno di male in peggio, come colui ch’aveva il male della morte; di che li due fratelli si dolevan forte.","Ma ogni rimedio era inutile, per cui il buon uomo, che era già vecchio ed aveva vissuto in maniera dissoluta, secondo il parere dei medici, andava peggiorando di giorno in giorno come colui che sta andando incontro alla morte; i due fratelli si addoloravano molto."
"– Che farem noi – diceva l’uno all’altro – di costui? Noi abbiamo dei fatti suoi pessimo partito alle mani, per ciò che il mandarlo fuori di casa nostra così infermo ne sarebbe gran biasimo e segno manifesto di poco senno, veggendo la gente che noi l’avessimo ricevuto prima, e poi fatto servire e medicare così sollecitamente, e ora, senza potere egli aver fatta cosa alcuna che dispiacere ci debba, così subitamente di casa nostra e infermo a morte vederlo mandar fuori.","Cosa ne faremo” diceva l’uno all’altro “di costui? Ci troviamo a mal partito a causa sua: se lo mandassimo fuori di casa nostra in queste condizioni ne risulterebbe un grande biasimo e un segno evidente di poco buonsenso, la gente ha visto come l’abbiamo prima accolto e poi fatto servire e curare con tanta sollecitudine, e ora, senza che ci abbia recato alcun danno, ora che è gravemente malato, vede che lo mandiamo subito fuori da casa nostra."
"D’altra parte, egli è stato sì malvagio uomo che egli non si vorrà confessare né prendere alcuno sacramento della Chiesa;","D’altra parte, egli è stato un uomo talmente malvagio, che non si vorrà confessare né prendere nessun sacramento dalla Chiesa;"
"e, morendo senza confessione, niuna chiesa vorrà il suo corpo ricevere, anzi sarà gittato a’ fossi a guisa d’un cane.","e, dato che morirà senza confessione, nessuna chiesa vorrà ricevere il suo corpo, anzi, sarà gettato in un fosso come un cane"
"E, se egli si pur confessa, i peccati suoi son tanti e sì orribili che il simigliante n’avverrà, per ciò che frate né prete ci sarà che ’l voglia né possa assolvere; per che, non assoluto, anche sarà gittato a’ fossi.","E, se anche si confessasse, i suoi peccati sono talmente tanti e orribili, che gli accadrà la stessa cosa, perché non ci sarà nessun frate e nessun prete che lo voglia o possa assolvere: quindi, non assolto, sarà gettato in un fosso"
"E se questo avviene, il popolo di questa terra, il quale sì per lo mestier nostro, il quale loro pare iniquissimo e tutto ’l giorno ne dicon male, e sì per la volontà che hanno di rubarci, veggendo ciò, si leverà a romore e griderrà:","Gli abitanti di questo luogo, che già non vi vedono di buon’occhio sia per il nostro mestiere, che a loro sembra molto disonesto e tutti i giorni ne parlano male, sia per la voglia che hanno di derubarci, appena lo sapranno faranno tumulti e grideranno"
"Questi lombardi cani, li quali a chiesa non sono voluti ricevere, non ci si vogliono più sostenere –;","‘Non vogliamo più tollerare questi lombardi, cani che non si lasciano nemmeno entrare in chiesa’;"
"e correrannoci alle case e per avventura non solamente l’avere ci ruberanno, ma forse ci torranno oltre a ciò le persone; di che noi in ogni guisa stiammale, se costui muore.","e correranno alle nostre case e non solamente ci deruberanno ma, forse, oltre a ciò, ci toglieranno anche la vita: perciò, in ogni caso, ci ritroveremo male se costui muore”."
"Ser Ciappelletto, il quale, come dicemmo, presso giacea là dove costoro così ragionavano, avendo l’udire sottile, sì come le più volte veggiamo avere gl’infermi, udì ciò che costoro di lui dicevano;","Ser Ciappelletto, il quale, come dicemmo, giaceva poco distante da dove parlavano e, avendo l’udito fino come spesso capita agli infermi, udì ciò che dicevano di lui; li fece chiamare e disse loro:”"
"– Io non voglio che voi di niuna cosa di me dubitiate né abbiate paura di ricevere per me alcun danno. Io ho inteso ciò che di me ragionato avete e son certissimo che così n’avverrebbe come voi dite, dove così andasse la bisogna come avvisate;",Io voglio che non temiate nulla e né che riceviate alcun danno a causa mia. Ho sentito ciò che avete detto di me e sono certo che avverrebbe come avete detto se le cose andassero come avete previsto:
"Altissimu, onnipotente, bon Signore, tue so' le laude, la gloria e l'honore et onne benedictione.","Altissimo, Onnipotente Buon Signore, tue sono le lodi, la gloria, l'onore e ogni benedizione."
"Ad te solo, Altissimu, se konfàno et nullu homo ène dignu te mentovare.","A te solo, o Altissimo, si addicono e nessun uomo è degno di menzionarti."
"Laudato sie, mi' Signore, cum tucte le tue creature, spetialmente messor lo frate sole, lo qual è iorno, et allumini noi per lui; et ellu è bellu e radiante cum grande splendore: de te, Altissimo, porta significatione.","Lodato sii, mio Signore, insieme a tutte le creature, specialmente per il signor fratello sole, il quale è la luce del giorno e tu tramite lui ci illumini: è bello e raggiante con grande splendore e di te, Altissimo, porta il segno."
"Laudato si', mi' Signore, per sora luna e le stelle: in celu l'ài formate clarite et pretiose et belle.","Lodato sii, o mio Signore, per sorella luna e le stelle: in cielo le hai create, chiare preziose e belle."
"Laudato si', mi' Signore, per frate vento et per aere et nubilo et sereno et onne tempo, per lo quale a le tue creature dài sustentamento.","Lodato sii, mio Signore, per fratello vento, e per l'aria e per il cielo; per quello nuvoloso e per quello sereno, per ogni stagione tramite la quale alle creature dai sostentamento."
"Laudato si', mi' Signore, per sor'aqua, la quale è multo utile et humile et pretiosa et casta.","Lodato sii, mio Signore, per sorella acqua, la quale è molto utile e umile, preziosa e pura."
"Laudato si', mi' Signore, per frate focu, per lo quale ennallumini la nocte, et ello è bello et iocundo et robustoso et forte.","Lodato sii, mio Signore, per fratello fuoco, attraverso il quale illumini la notte. Egli è bello, giocondo, robusto e forte."
"Laudato si', mi' Signore, per sora nostra matre terra, la quale ne sustenta et governa, et produce diversi fructi con coloriti flori et herba.","Lodato sii, mio Signore, per nostra sorella madre terra, la quale ci sostiene e ci governa: produce diversi frutti, con fiori variopinti ed erba."
"Laudato si', mi' Signore, per quelli ke perdonano per lo tuo amore, et sostengo infirmitate et tribulatione.","Lodato sii, mio Signore, per quelli che perdonano in nome del tuo amore, e sopportano dolori e malattie."
"Beati quelli che 'l sosterrano in pace, ca da te, Altissimo, sirano incoronati.","Beati quelli che li sopporteranno serenamente, perché da te, Altissimo, saranno incoronati."
"Laudato si', mi' Signore, per sora nostra morte corporale, da la quale nullu homo vivente pò scappare: guai a quelli che morrano ne le peccata mortali.","Lodato sii, mio Signore, per la nostra sorella morte corporale, dalla quale nessun uomo che vive può scappare; guai a quelli che moriranno mentre sono in peccato mortale."
"Beati quelli che trovarà ne le tue santissime voluntati, ka la morte secunda no 'l farrà male.",Beati quelli che troveranno la morte mentre rispettano le tue volontà. In questo caso la morte spirituale non farà loro alcun male.
Laudate et benedicete mi' Signore et ringratiate et serviateli cum grande humilitate.,"Lodate e benedite il mio Signore, ringraziatelo e servitelo con grande umiltà."
"Donna me prega, - per ch'eo voglio dire d'un accidente - che sovente - è fero ed è sì altero - ch'è chiamato amore: sì chi lo nega - possa 'l ver sentire!","Una donna mi invita a dire, per cui parlo di un accidente, che spesso è crudele e così violento da chiamarsi amore: chi lo nega lo possa sperimentare  nella sua vera natura!"
"Ed a presente - conoscente - chero, perch'io no spero - ch'om di basso core a tal ragione porti canoscenza:","Ed ora esigo che chi mi ascolta sia esperto, poiché non mi attendo che, chi è di animo vile, possa comprendere un tale argomento:"
"ché senza - natural dimostramento non ho talento - di voler provare là dove posa, e chi lo fa creare, e qual sia sua vertute e sua potenza, l'essenza","ché, senza una dimostrazione guidata dalle tesi della filosofia naturale, non riesco a provare dove l'amore risiede e chi lo fa agire, se la sua sia virtù e quale sia il suo potere, la sua essenza,"
" poi e ciascun suo movimento, e 'l piacimento - che 'l fa dire amare, e s'omo per vederlo pò mostrare.","ogni effetto da lui prodotto, ogni modificazione, l'attrazione che lo fa definire amore,  (infine) se lo si può raffigurare visibilmente."
"In quella parte - dove sta memora prende suo stato, - sì formato, - come diaffan da lume, - d'una scuritate la qual da Marte - vène, e fa demora; elli è creato - (ed ha, sensato, - nome), d'alma costume - e di cor volontate.","L'amore si insedia in quella parte dell'anima dove risiede la memoria e si fissa stabilmente dopo aver assunto forma da un'oscurità che procede dall'influsso di Marte, così come il corpo trasparente si trasforma da potenza ad atto, diventando luminoso quando è attraversato dalla luce; l'amore è creato (deve la sua esistenza ad un fattore esterno) e, colto dai sensi, assume un nome preciso, è disposizione naturale dell'anima e desiderio del cuore."
"Vèn da veduta forma che s'intende, che prende - nel possibile intelletto, come in subietto, - loco e dimoranza.","Esso muove dalla visione di una figura, che si percepisce nell'intelletto possibile così come nel soggetto pronto ad accoglierla, ed in esso assume stabile dimora."
In quella parte mai non ha possanza perché da qualitate non descende:,"Nell'intelletto possibile l'amore non può nulla, poiché esso è indipendente dai quattro elementi essenziali:"
resplende - in sé perpetual effetto; non ha diletto - ma consideranza; sì che non pote largir simiglianza,"l'eterna intellezione, non accoglie il piacere ma contempla, tanto da non produrre elementi di confronto."
Io voglio del ver la mia donna laudare ed asemblarli la rosa e lo giglio:,Io voglio lodare la mia donna con parole veritiere e paragonarla alla rosa e al giglio:
"più che stella diana splende e pare, e ciò ch'è lassù bello a lei somiglio.","ella risplende e pare più di quanto risplenda la stella di Venere, e paragono a lei tutto ciò che splende in cielo"
"Verde river' a lei rasembro e l'âre tutti color di fior', giano e vermiglio,","A lei paragono una verde campagna e l'aria e tutti i colori dei fiori, giallo e rosso,"
oro ed azzurro e ricche gioi per dare: medesmo Amor per lei rafina meglio.,oro e azzurro dei lapislazzuli e ricchi gioielli degni di essere regalati: attraverso lei lo stesso Amore si fa prezioso.
"Passa per via adorna, e sì gentile ch'abassa orgoglio a cui dona salute,","Passa per la via ornata, ed è così angelica che abbassa l'orgoglio a chiunque doni il suo saluto,"
e fa 'l de nostra fé se non la crede;,e converte coloro che non credono;
e no-lle pò apressare om che sia vile; ancor ve dirò c'ha maggior virtute:,e nessun uomo che sia ignobile le si può avvicinare; vi dirò che ha un potere miracoloso:
null'om pò mal pensar fin che la vede.,nessun uomo può avere pensieri malvagi finché la vede.
